Mods count: 167
 
                                     jar name                                       |    notes     |             mod id             |                    mod name                     |         mod version          |                                                                                                                                                                                                                                        mixin configs                                                                                                                                                                                                                                         |              modrinth hash               | curseforge hash
------------------------------------------------------------------------------------+--------------+--------------------------------+-------------------------------------------------+------------------------------+----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------------------------------------+----------------
fmlloader-1.20.1-47.4.10.jar (modloader)                                            |              | forge                          | forge                                           | fmlloader-1.20.1-47.4.10.jar |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              |                                          |                
Ad-Astra-Giselle-Addon-forge-1.20.1-6.20.jar                                        |              | ad_astra_giselle_addon         | Ad Astra: Giselle Addon                         | 6.20                         | ad_astra_giselle_addon.mixin.refmap.json, ad_astra_giselle_addon.mixin.client.json, ad_astra_giselle_addon.mixin.common.json, ad_astra_giselle_addon.mixin.forge.client.json, ad_astra_giselle_addon.mixin.forge.common.json                                                                                                                                                                                                                                                                 | ce565f1dca2cb257b5ff089fc59755c714762424 | 2593954164     
ad_astra-forge-1.20.1-1.15.20.jar                                                   |              | ad_astra                       | Ad Astra                                        | 1.15.20                      | adastra.mixins.json, adastra-common.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                              | 537ac3e358a97efd7b03648a9bfd7b11f1ae7ff7 | 2713479490     
    /META-INF/jars/jlayer-1.0.1.jar                                                 |              |                                |                                                 |                              |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              |                                          |                
Adorn-5.0.1+1.20.1-forge.jar                                                        |              | adorn                          | Adorn                                           | 5.0.1+1.20.1                 | mixins.adorn.forge.json, mixins.adorn.common.json                                                                                                                                                                                                                                                                                                                                                                                                                                            | f86bdb447db5a72b963c2a29efd49612e0a4d795 | 2612041921     
AdvancedPeripherals-1.20.1-0.7.46r.jar                                              |              | advancedperipherals            | Advanced Peripherals                            | 0.7.46r                      |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              | 4a498b6afd73f43ae3a9bb7591208fe026b36e2c | 3441866403     
ae2ct-1.20.1-1.1.1.jar                                                              |              | ae2ct                          | ae2CraftingTree                                 | 1.20.1-1.1.1                 | ae2ct.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                            | e6c9d9c2cd9c52aec6364d87e78924f6165b7998 | 865526758      
ae2wtlib-15.3.3-forge.jar                                                           |              | ae2wtlib                       | AE2WTLib                                        | 15.3.3-forge                 | ae2wtlib.mixins.refmap.json, ae2wtlib.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                            | 1a546af04844677542b6914191783c7de15364fc | 3724438651     
almostunified-forge-1.20.1-0.11.0.jar                                               |              | almostunified                  | AlmostUnified                                   | 1.20.1-0.11.0                | almostunified-common.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                             | 24943e5efe95c10367259a7bbd13874ca56ebf0a | 2421938229     
