[30May2026 13:34:56.579] [main/INFO] [cpw.mods.modlauncher.Launcher/MODLAUNCHER]: ModLauncher running: args [--username, Bigh2011x, --version, 1.21.1, --gameDir, /home/bigh/.var/app/org.prismlauncher.PrismLauncher/data/PrismLauncher/instances/1.21.1/minecraft, --assetsDir, /home/bigh/.var/app/org.prismlauncher.PrismLauncher/data/PrismLauncher/assets, --assetIndex, 17, --uuid, 4ad7ad70dd98470aa438bf61b02daec8, --accessToken, ❄❄❄❄❄❄❄❄, --userType, msa, --versionType, release, --fml.neoForgeVersion, 21.1.231, --fml.fmlVersion, 4.0.42, --fml.mcVersion, 1.21.1, --fml.neoFormVersion, 20240808.144430, --launchTarget, forgeclient, --width, 854, --height, 480]
[30May2026 13:34:56.581] [main/INFO] [cpw.mods.modlauncher.Launcher/MODLAUNCHER]: JVM identified as Microsoft OpenJDK 64-Bit Server VM 21.0.7+6-LTS
[30May2026 13:34:56.582] [main/INFO] [cpw.mods.modlauncher.Launcher/MODLAUNCHER]: ModLauncher 11.0.5+main.901c6ea8 starting: java version 21.0.7 by Microsoft; OS Linux arch amd64 version 6.17.0-29-generic
[30May2026 13:34:56.741] [main/INFO] [net.neoforged.fml.loading.ImmediateWindowHandler/]: Loading ImmediateWindowProvider fmlearlywindow
[30May2026 13:34:56.803] [main/INFO] [EARLYDISPLAY/]: Trying GL version 4.6
[30May2026 13:34:57.065] [main/INFO] [EARLYDISPLAY/]: Requested GL version 4.6 got version 4.6
[30May2026 13:34:57.185] [main/INFO] [mixin/]: SpongePowered MIXIN Subsystem Version=0.8.7 Source=union:/home/bigh/.var/app/org.prismlauncher.PrismLauncher/data/PrismLauncher/libraries/net/fabricmc/sponge-mixin/0.15.2+mixin.0.8.7/sponge-mixin-0.15.2+mixin.0.8.7.jar%23163!/ Service=ModLauncher Env=CLIENT
[30May2026 13:34:57.361] [pool-2-thread-1/INFO] [EARLYDISPLAY/]: GL info: NVIDIA GeForce RTX 3060/PCIe/SSE2 GL version 4.6.0 NVIDIA 595.71.05, NVIDIA Corporation
[30May2026 13:34:57.366] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "client-1.21.1-20240808.144430-srg.jar" [locator: production client provider +net.neoforged:neoforge:21.1.231:client]
[30May2026 13:34:57.379] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "neoforge-21.1.231-universal.jar" [locator: PathBasedLocator[name=neoforge, paths=[/home/bigh/.var/app/org.prismlauncher.PrismLauncher/data/PrismLauncher/libraries/net/neoforged/neoforge/21.1.231/neoforge-21.1.231-universal.jar]], reader: mod manifest]
[30May2026 13:34:57.386] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "AdvancedPeripherals-1.21.1-0.7.61b.jar" [locator: {mods folder locator at /home/bigh/.var/app/org.prismlauncher.PrismLauncher/data/PrismLauncher/instances/1.21.1/minecraft/mods}, reader: mod manifest]
[30May2026 13:34:57.388] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "aerocopycats-1.1.1.jar" [locator: {mods folder locator at /home/bigh/.var/app/org.prismlauncher.PrismLauncher/data/PrismLauncher/instances/1.21.1/minecraft/mods}, reader: mod manifest]
[30May2026 13:34:57.390] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "almostunified-neoforge-1.21.1-1.4.2.jar" [locator: {mods folder locator at /home/bigh/.var/app/org.prismlauncher.PrismLauncher/data/PrismLauncher/instances/1.21.1/minecraft/mods}, reader: mod manifest]
[30May2026 13:34:57.394] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "appliedenergistics2-19.2.17.jar" [locator: {mods folder locator at /home/bigh/.var/app/org.prismlauncher.PrismLauncher/data/PrismLauncher/instances/1.21.1/minecraft/mods}, reader: mod manifest]
[30May2026 13:34:57.396] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "architectury-13.0.8-neoforge.jar" [locator: {mods folder locator at /home/bigh/.var/app/org.prismlauncher.PrismLauncher/data/PrismLauncher/instances/1.21.1/minecraft/mods}, reader: mod manifest]
[30May2026 13:34:57.398] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "balm-neoforge-1.21.1-21.0.58.jar" [locator: {mods folder locator at /home/bigh/.var/app/org.prismlauncher.PrismLauncher/data/PrismLauncher/instances/1.21.1/minecraft/mods}, reader: mod manifest]
[30May2026 13:34:57.399] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "bclib-21.0.20.jar" [locator: {mods folder locator at /home/bigh/.var/app/org.prismlauncher.PrismLauncher/data/PrismLauncher/instances/1.21.1/minecraft/mods}, reader: mod manifest]
[30May2026 13:34:57.404] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "BetterEnd-21.0.24.jar" [locator: {mods folder locator at /home/bigh/.var/app/org.prismlauncher.PrismLauncher/data/PrismLauncher/instances/1.21.1/minecraft/mods}, reader: mod manifest]
