Mods count: 245
 
                                     jar name                                       | notes |             mod id             |                      mod name                       |         mod version          |                                                                                                                                                                                                                                        mixin configs                                                                                                                                                                                                                                         |              modrinth hash               | curseforge hash
------------------------------------------------------------------------------------+-------+--------------------------------+-----------------------------------------------------+------------------------------+----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------------------------------------+----------------
fmlloader-1.20.1-47.4.13.jar (modloader)                                            |       | forge                          | forge                                               | fmlloader-1.20.1-47.4.13.jar |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              |                                          |                
ad_astra-forge-1.20.1-1.15.20.jar                                                   |       | ad_astra                       | Ad Astra                                            | 1.15.20                      | adastra.mixins.json, adastra-common.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                              | 537ac3e358a97efd7b03648a9bfd7b11f1ae7ff7 | 2713479490     
    /META-INF/jars/jlayer-1.0.1.jar                                                 |       |                                |                                                     |                              |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              |                                          |                
AdvancedPeripherals-1.20.1-0.7.43r.jar                                              |       | advancedperipherals            | Advanced Peripherals                                | 0.7.43r                      |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              | a6f544738d3c0bb38712dededf12d0e80bd357c7 | 2948318168     
ae2ct-1.20.1-1.1.1.jar                                                              |       | ae2ct                          | ae2CraftingTree                                     | 1.20.1-1.1.1                 | ae2ct.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                            | e6c9d9c2cd9c52aec6364d87e78924f6165b7998 | 865526758      
AE2NetworkAnalyzer-1.20-1.0.6-forge.jar                                             |       | ae2netanalyser                 | AE2NetworkAnalyzer                                  | 1.20-1.0.6-forge             |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              | 7616ab6cf999f1844edc87433f60dfe45d829ce8 | 134614876      
ae2wtlib-15.3.3-forge.jar                                                           |       | ae2wtlib                       | AE2WTLib                                            | 15.3.3-forge                 | ae2wtlib.mixins.refmap.json, ae2wtlib.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                            | 1a546af04844677542b6914191783c7de15364fc | 3724438651     
AI-Improvements-1.20-0.5.2.jar                                                      |       | aiimprovements                 | AI-Improvements                                     | 0.5.2                        |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              | 11ad483d1fd1f7ebd84b4940b1dc0926b3e9daa8 | 2983526960     
alltheleaks-1.1.1+1.20.1-forge.jar                                                  |       | alltheleaks                    | All The Leaks                                       | 1.1.1+1.20.1-forge           | alltheleaks.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                      | 3c43c2e76093dc7ef5ad6e456d20da9674c653aa | 1225915087     
almostunified-forge-1.20.1-0.11.0.jar                                               |       | almostunified                  | AlmostUnified                                       | 1.20.1-0.11.0                | almostunified-common.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                             | 24943e5efe95c10367259a7bbd13874ca56ebf0a | 2421938229     
antiblocksrechiseled-0.4.8.jar                                                      |       | antiblocksrechiseled           | AntiBlocksReChiseled                                | 0.4.8                        |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              | da487c2bab51ea5464c03f8a3a2dfe4448af6d08 | 4078017519     
appleskin-forge-mc1.20.1-2.5.1.jar                                                  |       | appleskin                      | AppleSkin                                           | 2.5.1+mc1.20.1               |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              | 81919356f84eab14258db98924b66c3c38e372b1 | 1671637789     
architectury-9.2.14-forge.jar                                                       |       | architectury                   | Architectury                                        | 9.2.14                       | architectury.mixins.json, architectury-common.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                    | a52918a500ff421180a1cbd1a0cabee712134ec4 | 98480002       
athena-forge-1.20.1-3.1.2.jar                                                       |       | athena                         | Athena                                              | 3.1.2                        | athena-forge.mixins.json, athena.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                 | 2acee24454af859988a691f0506271a465f68f7b | 3211401917     
BadOptimizations-2.4.1-1.20.1.jar                                                   |       | badoptimizations               | BadOptimizations                                    | 2.4.1                        | forge-badoptimizations.mixins.json, fabric-badoptimizations.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                      | 304007dcb0fb15ed1a1bc3771736470dafc5be0f | 3405088325     
badpackets-forge-0.4.3.jar                                                          |       | badpackets                     | Bad Packets                                         | 0.4.3                        | badpackets.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                       | 34b4ae0b51fe8bb55529dd20968bf58e20b4a21e | 753944455      
baguettelib-1.20.1-Forge-1.1.6.jar                                                  |       | baguettelib                    | BaguetteLib                                         | 1.1.6                        | baguettelib.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                      | 8d3c9551bbed4c2f2e8cb2b9a10d31bad4edb52d | 2947245849     
balm-forge-1.20.1-7.3.38-all.jar                                                    |       | balm                           | Balm                                                | 7.3.38                       | balm.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                             | 515905f87268f1eb5af2a9878a84914517efe552 | 3717034118     
    /META-INF/jarjar/kuma-api-forge-20.1.12+1.20.1.jar                              |       | kuma_api                       | KumaAPI                                             | 20.1.12                      | kuma_api.forge.mixins.json, kuma_api.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                             |                                          |                
